股票代碼,背離日期
2440,"[Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
2457,"[Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
2457,"[Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
2478,"[Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei')]"
2478,"[Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei')]"
2489,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
2489,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
2501,"[Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
2704,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
2704,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
2712,"[Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
2712,"[Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
2889,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
2905,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
2915,"[Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
3003,"[Timestamp('2025-02-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
3003,"[Timestamp('2025-02-12 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
3010,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
3010,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
3016,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
3016,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
3037,"[Timestamp('2025-02-27 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-03 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
3037,"[Timestamp('2025-02-27 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-03 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
3057,"[Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
3057,"[Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
3321,"[Timestamp('2025-02-26 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-27 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-03 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-05 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-06 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-07 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
3321,"[Timestamp('2025-02-26 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-27 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-03 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-05 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-06 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-07 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
3406,"[Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
3406,"[Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
3437,"[Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
3437,"[Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
3583,"[Timestamp('2025-03-03 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei')]"
3583,"[Timestamp('2025-03-03 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei')]"
3702,"[Timestamp('2025-03-05 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-06 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
3702,"[Timestamp('2025-03-05 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-06 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
4148,"[Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei')]"
4545,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
4545,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-13 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
4564,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
4736,"[Timestamp('2025-02-27 00:00:00+0800', tz='Asia/Taipei')]"
4736,"[Timestamp('2025-02-27 00:00:00+0800', tz='Asia/Taipei')]"
4961,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
4961,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
5288,"[Timestamp('2025-02-25 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-02-27 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-03 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
5880,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
6225,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
6225,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
6409,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
6409,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
6415,"[Timestamp('2025-02-12 00:00:00+0800', tz='Asia/Taipei')]"
6415,"[Timestamp('2025-02-12 00:00:00+0800', tz='Asia/Taipei')]"
6451,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
6451,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
6504,"[Timestamp('2025-03-04 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-10 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei'), Timestamp('2025-03-14 00:00:00+0800', tz='Asia/Taipei')]"
6552,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
6552,"[Timestamp('2025-03-11 00:00:00+0800', tz='Asia/Taipei')]"
